order_id,customer_id,order_ts,status,currency,order_total
5001,2,2025-03-24T00:00:00.000000000,paid,TRY,19.99
5002,2,2025-03-04T00:00:00.000000000,paid,EUR,"14,50"
5003,5,2025-03-02T00:00:00.000000000,shipped,USD,"49,99"
5004,19,2025-03-13T00:00:00.000000000,paid,EUR,"14,50"
5005,2,2025-03-08T00:00:00.000000000,shipped,TRY,"14,50"
5006,9,2025-03-26T00:00:00.000000000,paid,EUR,"14,50"
5007,7,2025-03-13T00:00:00.000000000,shipped,USD,"49,99"
5008,12,2025-03-05T00:00:00.000000000,paid,EUR,"49,99"
5009,4,2025-03-14T00:00:00.000000000,shipped,USD,19.99
5010,3,2025-03-11T00:00:00.000000000,cancelled,EUR,19.99
5011,14,2025-03-21T00:00:00.000000000,shipped,USD,"14,50"
5012,4,2025-03-04T00:00:00.000000000,shipped,EUR,"49,99"
5013,16,2025-03-21T00:00:00.000000000,shipped,USD,"49,99"
5014,10,2025-03-15T00:00:00.000000000,shipped,USD,"49,99"
5015,6,2025-03-12T00:00:00.000000000,paid,EUR,"49,99"
5016,1,2025-03-25T00:00:00.000000000,paid,EUR,100.00
5017,16,2025-03-16T00:00:00.000000000,paid,EUR,"14,50"
5018,18,2025-03-04T00:00:00.000000000,paid,EUR,19.99
5019,19,2025-03-01T00:00:00.000000000,shipped,EUR,19.99
5020,14,2025-03-26T00:00:00.000000000,shipped,EUR,"14,50"
5021,7,2025-03-22T00:00:00.000000000,shipped,EUR,"49,99"
5022,5,2025-03-18T00:00:00.000000000,shipped,USD,100.00
5023,1,2025-03-03T00:00:00.000000000,cancelled,USD,"14,50"
5024,10,2025-03-05T00:00:00.000000000,shipped,USD,100.00
5025,19,2025-03-17T00:00:00.000000000,created,EUR,100.00
5026,13,2025-03-04T00:00:00.000000000,paid,EUR,100.00
5027,17,2025-03-04T00:00:00.000000000,paid,TRY,100.00
5028,8,2025-03-13T00:00:00.000000000,created,EUR,19.99
5029,2,2025-03-14T00:00:00.000000000,paid,EUR,"49,99"
5030,14,2025-03-04T00:00:00.000000000,cancelled,USD,19.99
5031,6,2025-03-30T00:00:00.000000000,paid,EUR,100.00
