ym,country,currency,orders,items,revenue
2025-03,DE,EUR,12,20,842.97
2025-03,DE,TRY,1,2,40.0
2025-03,DE,USD,3,4,230.0
2025-03,FR,EUR,6,11,436.95
2025-03,FR,TRY,1,3,78.99000000000001
2025-03,FR,USD,1,2,49.99
2025-03,GB,EUR,14,22,848.84
2025-03,GB,TRY,3,4,224.5
2025-03,GB,USD,7,12,375.98
2025-03,TR,EUR,13,27,915.44
2025-03,TR,TRY,4,4,353.49
2025-03,TR,USD,3,5,130.5
2025-03,UNK,EUR,4,6,263.45000000000005
2025-03,UNK,USD,3,6,363.47
2025-03,US,EUR,10,13,478.94000000000005
2025-03,US,TRY,5,9,322.43
2025-03,US,USD,7,12,506.95
